WELL,START_DATE,END_DATE,WELL START END,LIFETIME,WELL_TYPE,PSN,DHS,ROD_GUIDE,AVE_GROSS,AVE_GAS,PUMP_EFF,OD_PUMP,SL,SPM,SM,TORQUE,LOAD,ROD_STRESS,FREQ_OFF,HOUR_OFF,SAND,GASSY,PARAFFINIC,SCALE,SAND_LEVEL,RIG REPORT
ST-126,29-Oct-19,15-Feb-20,ST-1264376743876,110,VERTICAL,939,SANDTRAP,0,746,2,0.72,2.5,168,8.5,588,0.604,0.349,0.612,6,20,1,0,0,0,94,
ST-126,27-Feb-20,21-Jun-20,ST-1264388844003,116,VERTICAL,807,SANDTRAP,0,526,2,0.50,2.5,168,8.5,469,0.601,0.32,0.569,14,45,1,0,0,0,54,
ST-126,23-Jun-20,7-Jan-21,ST-1264400544203,199,VERTICAL,807,SANDTRAP,0,594,1,0.57,2.5,168,8.5,444,0.607,0.324,0.578,7,21,1,0,0,0,84,
ST-127,13-Feb-16,29-Feb-16,ST-1274241342429,17,VERTICAL,1050,GACT,0,206,58,0.51,2.5,86,6.4,353,0.42,0.432,0.596,9,77,1,1,0,0,191,
ST-127,25-Aug-17,5-Sep-17,ST-1274297242983,12,VERTICAL,1050,SANDTRAP,0,178,132,0.51,2.5,64,7.5,244,0.752,0.77,0.61,6,24,1,1,0,0,108,
ST-127,13-Sep-17,9-Dec-17,ST-1274299143078,88,VERTICAL,708,MPR,0,194,60,0.55,2.5,64,7.5,174,0.519,0.526,0.436,15,112,1,1,0,0,141,
ST-127,17-Dec-17,17-Sep-19,ST-1274308643725,640,VERTICAL,708,MPR,0,135,64,0.34,2.5,74,7.4,128,0.463,0.321,0.458,59,149,1,1,0,0,93,
ST-127,18-Oct-19,8-Feb-20,ST-1274375643869,114,VERTICAL,700,MPR,0,286,11,0.76,2.5,74,7.0,205,0.43,0.3,0.428,12,32,1,1,0,0,127,
ST-127,20-Feb-20,25-Feb-20,ST-1274388143886,6,VERTICAL,600,SANDTRAP,0,220,93,0.58,2.5,74,7.0,54,0.446,0.285,0.413,3,49,1,1,0,0,178,
ST-127,5-Mar-20,9-Nov-20,ST-1274389544144,250,VERTICAL,700,MPR,0,198,11,0.72,2.5,74,5.1,43,0.435,0.313,0.445,12,25,1,1,0,0,92,
ST-127,18-Nov-20,5-Dec-20,ST-1274415344170,18,VERTICAL,700,SCREEN,0,63,28,0.19,2.5,74,6.1,299,0.386,0.275,0.391,9,111,1,1,0,0,62,
ST-127,8-Dec-20,29-Jun-21,ST-1274417344376,204,VERTICAL,700,MPR,0,219,4,0.62,2.5,74,6.5,124,0.442,0.31,0.442,19,102,1,0,0,0,93,
ST-132,22-Feb-18,17-Oct-18,ST-1324315343390,238,VERTICAL,851,SANDTRAP,0,36,25,0.14,2,62,9.0,7,0.372,0.339,0.478,24,58,1,1,0,0,141,
ST-132,22-Oct-18,28-Apr-21,ST-1324339544314,920,VERTICAL,850,MPR,0,36,23,0.16,2,62,8.0,4,0.354,0.332,0.466,68,142,1,1,0,0,104,
ST-134,23-Aug-17,7-May-21,ST-1344297044323,1354,VERTICAL,727,SANDTRAP,0,30,11,0.21,2,46.8,6.5,28,0.089,0.317,0.366,120,283,0,1,0,0,0,
ST-136,5-Mar-19,12-Mar-19,ST-1364352943536,8,VERTICAL,521,GACT,0,10,11,0.03,2.5,74,6.5,4,0.277,0.263,0.388,7,155,1,1,0,0,160,
ST-136,10-Jan-20,27-May-20,ST-1364384043978,139,VERTICAL,972,GACT,0,62,51,0.22,2.5,74,5.1,9,0.442,0.468,0.648,44,924,0,1,0,0,0,
ST-136,1-Jun-20,27-Sep-20,ST-1364398344101,119,VERTICAL,972,GACT,0,69,18,0.26,2.5,74,5.0,13,0.436,0.466,0.645,12,154,0,1,0,0,0,
ST-138,26-Jul-17,5-Feb-19,ST-1384294243501,560,VERTICAL,500,SANDTRAP,0,13,5,0.04,2.5,86,5.7,5,0.474,0.213,0.311,58,153,0,0,0,0,0,
ST-138,10-Feb-19,6-Feb-21,ST-1384350644233,728,VERTICAL,667,HYBRID,0,39,17,0.16,2,86,6.0,5,0.477,0.268,0.385,36,87,0,1,0,0,0,
ST-141,27-Sep-17,21-May-19,ST-1414300543606,602,VERTICAL,956,SANDTRAP,0,83,136,0.37,2,64,7.5,113,0.521,0.606,0.487,52,108,0,1,0,0,0,
